gene	log2PAO1A1	log2PAO1A2	log2PAO1A3	log2PAO1B1	log2PAO1B2	log2PAO1B3	log2PAO1C1	log2PAO1C2	log2PAO1C3	log2mutSA1	log2mutSA2	log2mutSA3	log2mutSB1	log2mutSB2	log2mutSB3	log2mutSC1	log2mutSC2	log2mutSC3
PA0175_at	-0.650652836	-1.094246794	-1.140188392	-3.182434857	-2.761566708	-0.505782925	-1.183090371	-1.720530576	-0.849098292	0.020604029	0.090604711	0.031951375	-0.13927229	-0.042375442	-0.077749912	0.406370911	-0.196418766	-0.044525451
PA3361_at	-0.283210957	-0.766780179	-0.947444224	-3.265254314	-4.006133014	-0.181223572	-0.009755399	-0.239337142	-1.578210917	0.83150747	-0.028858843	0.821667581	-0.188003138	-0.110459279	-0.08703441	0.560082056	0.032458666	-0.233650083
PA1001_phnA_at	0.670815693	-0.079866287	-0.168421829	-1.478024417	-3.543471552	0.393029936	-0.940495783	-0.933841525	-1.917657235	0.174619755	0.139114581	0.424593	0.245875192	0.916688226	1.903450971	0.628381156	0.082389994	0.35265137
PA0177_at	-0.362493121	-1.004890984	-0.693122268	-2.887063863	-2.180479965	-0.92464852	-1.319786514	-1.261035069	-0.752111721	0.28148955	0.162980802	0.535574772	-0.123363265	-0.049079314	0.386433741	0.603591042	-0.263824213	-0.342917876
PA1174_napA_at	-0.304696298	-0.481170412	-0.912293203	-2.51233235	-3.207374147	0.551970305	0.299633657	-1.322172317	-1.446558315	0.181657663	-0.223686614	-0.590974757	0.260567733	0.983666273	0.926126794	1.005139292	-0.001494936	-0.152112441
PA2194_hcnB_at	-0.124585761	-0.444856717	-0.394227347	-2.650630121	-4.178844264	1.069869438	-0.122732423	0.201313121	-2.512287819	-0.068812299	0.529374719	0.037594287	0.016366962	0.034658033	1.280612703	0.38767264	0.430787216	-0.152787037
PA3327_at	0.078114155	-0.639578513	-0.631016358	-2.668530285	-3.264561974	0.205088008	-0.090444719	-0.384984359	-2.625805659	0.200829435	0.466913617	0.473651017	0.287497835	-0.214102335	0.2524144	0.361417343	-0.170227875	-0.057369627
PA3740_at	-0.965581239	-1.357000656	-1.315178422	-2.316658121	-1.944492708	-1.414026344	-0.980420218	0.124547948	-0.991640479	-0.255443476	0.046369026	-0.406454681	0.06702481	0.298815409	0.130585538	0.698217869	-0.033759227	-0.202507158
PA1172_napC_at	-0.069913667	-0.544097843	-0.801520783	-2.72058832	-2.69857229	-0.289394	-0.058995017	-1.01145589	-0.998376528	0.090703712	-0.075899309	-0.094471499	0.276026413	0.886755798	0.394370641	0.81451125	-0.114863265	-0.077973667
PA2365_at	-0.366624966	-0.687174752	-0.992698846	-2.70445612	-3.920241755	0.611126929	-0.12239468	-0.975745091	-1.775439637	-0.157311724	0.162714995	0.271973672	0.023859329	-0.135774498	0.045617776	0.441930112	-0.490744848	0.045650188
PA0174_at	-0.330252793	-1.05662257	-0.628333982	-2.518278382	-2.294593243	-0.28954419	-1.019565823	-1.655131398	-0.452259043	-0.107626591	-0.003970267	0.310765571	0.006767376	-0.107275197	0.037248477	0.605772741	0.158313494	-0.203100219
PA1657_at	-0.797637446	-1.005938892	-1.480153203	-3.909672666	-1.983205949	-0.141978813	-0.147687588	-0.197098173	-2.039906311	0.337737668	0.231857731	-0.697923398	-0.785824263	-0.751404463	-0.101967279	0.134681906	0.566887455	0.043793806
PA2367_at	-0.201458231	-0.878432416	-0.615154207	-2.302077931	-3.355966688	0.027024637	-0.185127156	-0.40770219	-1.759054902	-0.04662216	0.404997486	0.371944089	-0.182029093	-0.321928095	0.241900277	0.646803083	0.100745258	-0.366478607
PA0178_at	-1.415130143	-1.088955531	-1.492171714	-2.10284635	-1.966385029	0.063838804	-1.127525983	-1.230560506	-0.628693558	-0.128208495	0.121782907	0.117526439	-0.246904557	0.201282665	-0.156176112	0.126611822	-0.168834038	-0.381560728
PA2368_i_at	-0.192184791	-0.772991219	-0.65142486	-3.025621135	-3.873723148	-0.099243898	-0.139385359	-0.418962472	-1.120374145	-0.477666211	0.700959016	-0.394046746	-0.132119159	0.243604233	0.304541864	0.318154666	-0.132243007	-0.343223292
PA2370_at	-0.112515052	-0.481954463	-0.244858792	-2.658353392	-2.961431071	-1.0269598	-0.240597465	-0.708828633	-1.381487959	-0.158536278	-0.046517062	0.394244842	-0.094820387	-0.08210199	0.238820245	0.518072482	-0.033132074	-0.177498421
PA3922_at	-1.133704814	-1.324909419	-1.829422005	-2.233665302	-2.956213957	0.967625657	0.053887986	-0.207594482	-1.04625346	-0.094349567	0.103328121	-0.147321168	-0.690071143	0.200701294	1.206389667	1.096700756	-1.155017855	-0.259930059
PA1665_at	-0.674298742	-0.598208819	-0.50404684	-2.989764923	-1.268509942	-0.440844014	0.040892941	0.078505281	-1.364189504	0.395714257	0.422190191	0.543307123	-0.262026761	-0.114640423	0.27160159	0.256896608	0.539736636	0.019721522
PA3326_at	0.087205497	-0.394916377	-0.740238121	-3.057507781	-2.492719988	0.153691995	-0.444314631	-0.513542701	-1.834923944	0.135756701	0.584002109	-0.447767235	-0.314690848	-0.703738216	0.165326098	0.597149114	0.334249243	0.194445076
PA1002_phnB_at	0.17289961	-0.357731361	-0.061481275	-1.402986204	-2.701701781	0.559519452	-0.840958549	-0.498706516	-1.209669288	0.143537821	-0.040097571	0.390215922	0.307397295	0.438611075	1.176037248	0.243739112	0.051821963	0.690174394
PA2573_at	0.0255101	-0.756193631	-0.559279193	-2.365429277	-3.034788656	0.819434104	0.14383949	-0.486377193	-1.270399768	0.143551003	0.260734032	-0.148990574	0.354226489	0.648683149	0.532622863	0.51597435	-0.115845108	-0.262721694
PA1658_at	-1.171275094	-0.462616143	-1.345593473	-3.017368887	-1.193286239	-0.049291615	-0.025194639	0.244271071	-1.87547005	0.461721577	0.124559818	-0.518383191	-0.481859534	-0.555507933	0.158068479	0.768486009	0.469094506	0.007989309
PA1667_at	-0.292222688	-0.575263309	-0.454237811	-3.745806924	-1.323149956	-0.346102083	-0.093293883	-0.140582222	-1.541365085	0.227016811	-0.006364983	0.350131127	-0.380183872	-0.090098158	0.409550757	0.668874997	-0.35086864	-0.130746599
PA2360_at	-0.077912448	-0.681720168	-0.334878185	-2.761005651	-1.996449988	-1.193509318	0.096174956	-0.639198513	-0.556739757	-0.059657704	0.250886386	0.229543047	0.003569802	0.121056225	0.236720103	0.468372767	-0.317182499	0.059063945
PA3476_rhlL_at	-0.17305821	-0.778560933	-0.89155963	-2.344626098	-1.521859799	-0.107908543	-0.026355056	-0.571328864	-1.740880852	0.297575039	0.509698376	-0.240433306	-0.194204687	-0.378399402	0.398742082	0.401634962	0.190064777	-0.026499122
PA4296_at	0.13518541	-0.010016239	-1.000659117	-2.418351716	-2.86542192	0.102752831	-0.288245269	-0.361676987	-0.425685401	1.151103537	1.54193292	0.988321202	-0.938947807	-0.581425272	-0.085816156	-0.175390119	-0.088721223	0.117265499
